District,Latitude,Longitude
Adalar,40.87625945,29.0910272621096
Arnavutköy,41.184182,28.7407289
Ataşehir,40.9847487,29.1067199
Avcılar,40.9801353,28.7175465
Bağcılar,41.0338992,28.8578982
Bahçelievler,41.0002895,28.8637451
Bakırköy,40.9835414,28.8679735
Başakşehir,41.0825564,28.8004978
Bayrampaşa,41.0514523,28.8983046761122
Beşiktaş,41.0428465,29.0075283
Beykoz,41.1239355,29.1083151
Beylikdüzü,41.0010788,28.642054
Beyoğlu,41.0284233,28.9736808
Büyükçekmece,41.0156913,28.5955238
Çatalca,41.1435632,28.4619692
Çekmeköy,41.0543213,29.2445387
Esenler,41.0332539,28.8909528
Esenyurt,41.0342402,28.6800178
Eyüp,41.0460444,28.9253241
Fatih,41.0096334,28.9651646
Gaziosmanpaşa,41.0575263,28.9156504
Güngören,41.0228713,28.8726289
Kadıköy,40.9768636,29.074825
Kağıthane,41.08598,28.9726208
Kartal,40.9033333,29.1724999
Küçükçekmece,41.0002141,28.7808891
Maltepe,40.9241902,29.150517
Pendik,40.8990646,29.2822115
Sancaktepe,41.0104897,29.2123325
Sarıyer,41.1662744,29.0306735
Silivri,41.0732043,28.2469222
Sultanbeyli,40.9658834,29.2723659
Sultangazi,41.1092401,28.8826142
Şile,41.1744067,29.6125216
Şişli,41.0612733,28.9850203
Tuzla,40.8166668,29.3008332
Ümraniye,41.0222688,29.090073
Üsküdar,41.0293083,29.0326345
Zeytinburnu,40.9881179,28.9036351
